session_id,log_file,turn_number,is_cold_start,total_latency_ms,concept_id,persona_id,methodology,ContextLoadingStage,UtteranceSavingStage,SRLPreprocessingStage,ExtractionStage,GraphUpdateStage,SlotDiscoveryStage,StateComputationStage,StrategySelectionStage,ContinuationStage,QuestionGenerationStage,ResponseSavingStage,ScoringPersistenceStage
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,2,False,25296.0,coffee_subscription_cjm,baseline_cooperative,customer_journey_mapping_v2,4.69,11.66,9.92,14877.8,97.51,3685.56,3.13,5571.22,0.13,1017.9,5.12,10.66
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,3,False,32984.0,coffee_subscription_cjm,baseline_cooperative,customer_journey_mapping_v2,3.81,12.49,12.9,21245.44,105.28,4717.56,3.11,5553.28,0.13,1305.86,12.46,10.7
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,4,False,19103.0,coffee_subscription_cjm,baseline_cooperative,customer_journey_mapping_v2,5.09,12.34,7.87,12272.67,74.36,2400.01,4.47,3343.13,0.13,959.08,12.07,10.73
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,5,False,28168.0,coffee_subscription_cjm,baseline_cooperative,customer_journey_mapping_v2,5.28,4.38,10.09,18295.91,76.91,3294.64,3.53,5279.06,0.15,1182.18,5.33,10.2
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,6,False,17204.0,coffee_subscription_cjm,baseline_cooperative,customer_journey_mapping_v2,4.34,11.5,8.63,10582.15,54.69,2686.03,3.76,2928.81,0.14,899.41,12.33,11.73
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,7,False,19731.0,coffee_subscription_cjm,baseline_cooperative,customer_journey_mapping_v2,6.82,12.18,8.17,10603.56,42.4,3547.03,5.18,3137.85,0.13,2348.58,3.81,14.43
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,8,False,23435.0,coffee_subscription_cjm,baseline_cooperative,customer_journey_mapping_v2,4.81,5.4,7.97,14881.13,85.07,3306.28,4.6,4031.06,0.13,1092.99,5.25,9.76
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,9,False,22889.0,coffee_subscription_cjm,baseline_cooperative,customer_journey_mapping_v2,6.22,12.5,10.33,13933.94,75.69,3690.76,4.16,4266.6,0.15,865.51,10.13,12.36
6a6dc548-55aa-45cd-9c10-256b03e82608,interview_20260417_133635.log,10,False,20759.0,coffee_subscription_cjm,baseline_cooperative,customer_journey_mapping_v2,4.9,3.84,7.57,13875.88,65.83,2985.16,4.51,3787.27,0.17,0.06,12.05,11.04
7e7f439d-8e05-4da1-b96a-c035e3b5487c,interview_20260417_134130.log,1,True,35624.0,glp1_food_mec_strict,verbose_tangential,means_end_chain_v2_strict,3.67,4.78,1620.8,17244.75,5717.94,3826.0,2.9,6322.0,0.17,866.73,3.17,10.01
7e7f439d-8e05-4da1-b96a-c035e3b5487c,interview_20260417_134130.log,2,False,25916.0,glp1_food_mec_strict,verbose_tangential,means_end_chain_v2_strict,4.19,2.69,22.34,15840.42,90.03,3395.17,3.08,5413.7,0.15,1129.86,4.39,9.29
7e7f439d-8e05-4da1-b96a-c035e3b5487c,interview_20260417_134130.log,3,False,27454.0,glp1_food_mec_strict,verbose_tangential,means_end_chain_v2_strict,5.0,3.08,21.54,16612.42,104.71,4476.99,3.0,4775.53,0.13,1425.35,14.36,11.4
7e7f439d-8e05-4da1-b96a-c035e3b5487c,interview_20260417_134130.log,4,False,26204.0,glp1_food_mec_strict,verbose_tangential,means_end_chain_v2_strict,3.49,4.77,21.35,16948.09,96.55,3245.21,3.06,4665.24,0.12,1199.3,6.43,9.23
7e7f439d-8e05-4da1-b96a-c035e3b5487c,interview_20260417_134130.log,5,False,22505.0,glp1_food_mec_strict,verbose_tangential,means_end_chain_v2_strict,6.09,2.36,23.25,14446.82,86.19,3155.03,3.1,3964.76,0.17,802.37,4.49,9.53
7e7f439d-8e05-4da1-b96a-c035e3b5487c,interview_20260417_134130.log,6,False,23617.0,glp1_food_mec_strict,verbose_tangential,means_end_chain_v2_strict,5.73,11.92,20.88,14266.15,65.91,4323.23,3.36,4020.99,0.14,868.91,15.58,13.27
7e7f439d-8e05-4da1-b96a-c035e3b5487c,interview_20260417_134130.log,7,False,26075.0,glp1_food_mec_strict,verbose_tangential,means_end_chain_v2_strict,6.7,4.91,19.86,16190.79,66.94,3282.22,3.68,5529.53,0.15,949.31,9.02,10.55
7e7f439d-8e05-4da1-b96a-c035e3b5487c,interview_20260417_134130.log,8,False,34552.0,glp1_food_mec_strict,verbose_tangential,means_end_chain_v2_strict,3.28,11.44,23.46,23487.21,105.64,3339.38,4.48,6465.78,0.14,1089.52,5.58,15.26
7e7f439d-8e05-4da1-b96a-c035e3b5487c,interview_20260417_134130.log,9,False,26330.0,glp1_food_mec_strict,verbose_tangential,means_end_chain_v2_strict,6.95,12.13,17.57,15572.69,86.4,3715.93,4.17,5777.78,0.13,1121.58,5.69,8.06
7e7f439d-8e05-4da1-b96a-c035e3b5487c,interview_20260417_134130.log,10,False,34680.0,glp1_food_mec_strict,verbose_tangential,means_end_chain_v2_strict,5.72,4.25,18.99,22622.87,96.83,3488.26,4.01,7182.7,0.19,1238.25,5.73,11.25
c157c31b-5270-415a-a7dd-f520c904492b,interview_20260417_134714.log,1,True,42245.0,glp1_food_mec_strict,single_topic_fixator,means_end_chain_v2_strict,4.35,3.89,1774.31,19255.2,6898.86,7144.78,9.64,6215.33,0.61,915.25,6.01,15.42
c157c31b-5270-415a-a7dd-f520c904492b,interview_20260417_134714.log,2,False,23351.0,glp1_food_mec_strict,single_topic_fixator,means_end_chain_v2_strict,4.2,9.06,87.92,14093.45,111.2,2528.51,4.18,5249.6,0.3,1245.88,3.87,11.77
c157c31b-5270-415a-a7dd-f520c904492b,interview_20260417_134714.log,3,False,24424.0,glp1_food_mec_strict,single_topic_fixator,means_end_chain_v2_strict,4.85,4.27,39.74,15457.37,105.59,3403.63,3.88,4252.44,0.18,1136.45,4.03,10.91
c157c31b-5270-415a-a7dd-f520c904492b,interview_20260417_134714.log,4,False,31110.0,glp1_food_mec_strict,single_topic_fixator,means_end_chain_v2_strict,5.45,2.66,34.01,18796.03,142.16,4502.74,3.93,6616.67,0.18,988.29,5.38,11.69
c157c31b-5270-415a-a7dd-f520c904492b,interview_20260417_134714.log,5,False,25589.0,glp1_food_mec_strict,single_topic_fixator,means_end_chain_v2_strict,5.49,2.57,23.95,14356.22,134.93,4119.53,4.19,5974.54,0.2,951.0,3.56,12.07
c157c31b-5270-415a-a7dd-f520c904492b,interview_20260417_134714.log,6,False,30515.0,glp1_food_mec_strict,single_topic_fixator,means_end_chain_v2_strict,5.9,13.04,23.65,15404.57,182.16,4329.71,4.26,9068.8,0.16,1460.16,11.54,10.34
c157c31b-5270-415a-a7dd-f520c904492b,interview_20260417_134714.log,7,False,26239.0,glp1_food_mec_strict,single_topic_fixator,means_end_chain_v2_strict,3.82,2.98,16.77,15600.39,119.03,4434.03,4.51,4923.22,0.2,1118.65,3.74,10.85
c157c31b-5270-415a-a7dd-f520c904492b,interview_20260417_134714.log,8,False,29965.0,glp1_food_mec_strict,single_topic_fixator,means_end_chain_v2_strict,5.09,3.21,25.5,17396.45,150.04,4486.31,5.78,5586.47,0.27,2285.6,6.82,12.5
c157c31b-5270-415a-a7dd-f520c904492b,interview_20260417_134714.log,9,False,27022.0,glp1_food_mec_strict,single_topic_fixator,means_end_chain_v2_strict,7.3,2.76,44.87,15027.27,150.43,3237.71,6.8,7350.08,0.19,1180.2,3.63,9.89
c157c31b-5270-415a-a7dd-f520c904492b,interview_20260417_134714.log,10,False,20730.0,glp1_food_mec_strict,single_topic_fixator,means_end_chain_v2_strict,8.21,4.28,26.33,11235.29,106.38,3161.04,7.24,6159.91,0.28,0.08,4.48,15.65
d8e82044-f522-45ea-b1c7-0ad3378dbfe4,interview_20260417_135252.log,1,True,42233.0,cold_brew_discovery_cit,emotionally_reactive,critical_incident_v2,4.39,3.82,2798.52,18882.98,7090.94,4824.75,3.05,7515.55,0.2,1091.16,4.62,12.15
d8e82044-f522-45ea-b1c7-0ad3378dbfe4,interview_20260417_135252.log,2,False,30327.0,cold_brew_discovery_cit,emotionally_reactive,critical_incident_v2,4.35,3.67,15.98,19477.24,121.65,4347.84,3.12,5337.23,0.46,999.54,4.45,9.93
d8e82044-f522-45ea-b1c7-0ad3378dbfe4,interview_20260417_135252.log,3,False,24061.0,cold_brew_discovery_cit,emotionally_reactive,critical_incident_v2,3.55,3.24,12.42,14598.17,91.14,3417.1,3.57,4653.81,0.16,1257.46,6.62,12.48
d8e82044-f522-45ea-b1c7-0ad3378dbfe4,interview_20260417_135252.log,4,False,20090.0,cold_brew_discovery_cit,emotionally_reactive,critical_incident_v2,4.29,3.5,10.75,11438.73,70.75,2733.98,3.74,4088.76,0.2,1720.75,3.67,10.44
d8e82044-f522-45ea-b1c7-0ad3378dbfe4,interview_20260417_135252.log,5,False,18466.0,cold_brew_discovery_cit,emotionally_reactive,critical_incident_v2,5.77,3.8,9.46,9985.36,49.64,2766.78,3.55,4643.11,0.14,981.31,5.16,11.4
d8e82044-f522-45ea-b1c7-0ad3378dbfe4,interview_20260417_135252.log,6,False,32442.0,cold_brew_discovery_cit,emotionally_reactive,critical_incident_v2,5.11,3.75,13.55,20105.54,100.23,4906.61,3.94,6227.46,0.18,1050.13,12.2,12.1
d8e82044-f522-45ea-b1c7-0ad3378dbfe4,interview_20260417_135252.log,7,False,22626.0,cold_brew_discovery_cit,emotionally_reactive,critical_incident_v2,4.32,3.06,10.81,12219.12,94.56,3611.8,4.65,5940.72,0.18,720.63,4.25,10.7
d8e82044-f522-45ea-b1c7-0ad3378dbfe4,interview_20260417_135252.log,8,False,29829.0,cold_brew_discovery_cit,emotionally_reactive,critical_incident_v2,3.75,4.14,11.42,17440.56,120.04,4307.06,4.4,7021.05,0.26,901.71,3.28,10.29
d8e82044-f522-45ea-b1c7-0ad3378dbfe4,interview_20260417_135252.log,9,False,29371.0,cold_brew_discovery_cit,emotionally_reactive,critical_incident_v2,5.41,3.04,10.05,15276.98,107.35,6058.29,5.1,6764.88,0.3,1114.66,11.13,12.62
839a98f0-c6a9-4651-a335-ef62505cf8db,interview_20260417_135739.log,1,True,45938.0,plant_milk_comparison_rg,uncertain_hedger,repertory_grid_v2,4.3,5.21,2050.12,22444.4,7276.07,5263.73,4.37,7910.42,0.23,956.7,7.0,13.93
839a98f0-c6a9-4651-a335-ef62505cf8db,interview_20260417_135739.log,2,False,29206.0,plant_milk_comparison_rg,uncertain_hedger,repertory_grid_v2,4.34,4.09,16.94,16228.31,112.02,4750.78,4.44,6822.6,0.17,1245.32,4.21,12.01
839a98f0-c6a9-4651-a335-ef62505cf8db,interview_20260417_135739.log,3,False,24493.0,plant_milk_comparison_rg,uncertain_hedger,repertory_grid_v2,4.27,2.95,14.59,13999.29,103.71,3620.61,4.97,5140.82,0.17,1586.07,4.43,10.42
839a98f0-c6a9-4651-a335-ef62505cf8db,interview_20260417_135739.log,4,False,29511.0,plant_milk_comparison_rg,uncertain_hedger,repertory_grid_v2,5.39,5.12,14.17,17373.23,104.59,5010.58,4.7,5627.09,0.16,1342.03,11.44,11.55
839a98f0-c6a9-4651-a335-ef62505cf8db,interview_20260417_135739.log,5,False,31043.0,plant_milk_comparison_rg,uncertain_hedger,repertory_grid_v2,4.38,3.32,15.48,18917.13,102.45,4529.26,5.59,6225.32,0.18,1226.28,3.36,9.48
839a98f0-c6a9-4651-a335-ef62505cf8db,interview_20260417_135739.log,6,False,29320.0,plant_milk_comparison_rg,uncertain_hedger,repertory_grid_v2,4.82,4.72,11.96,18672.96,95.25,4576.53,5.29,4741.31,0.18,1189.13,5.54,11.24
839a98f0-c6a9-4651-a335-ef62505cf8db,interview_20260417_135739.log,7,False,27993.0,plant_milk_comparison_rg,uncertain_hedger,repertory_grid_v2,5.97,11.81,11.07,17714.48,79.32,3531.22,5.84,5519.92,0.18,1091.28,11.06,10.05
839a98f0-c6a9-4651-a335-ef62505cf8db,interview_20260417_135739.log,8,False,27709.0,plant_milk_comparison_rg,uncertain_hedger,repertory_grid_v2,5.17,12.99,12.55,17646.5,74.76,4483.94,5.85,4494.53,0.16,954.41,3.99,13.42
839a98f0-c6a9-4651-a335-ef62505cf8db,interview_20260417_135739.log,9,False,32725.0,plant_milk_comparison_rg,uncertain_hedger,repertory_grid_v2,5.23,4.62,12.77,18571.29,105.16,4973.29,6.13,5845.24,0.21,3184.24,3.28,12.47
1cc35b1c-b55f-41b6-93bc-f66190a7d1b6,interview_20260417_140259.log,1,True,19498.0,glp1_food_mec_strict,brief_responder,,7.57,5.48,1987.46,4713.93,6516.73,2688.86,3.46,1986.49,0.22,1562.52,12.06,12.09
1cc35b1c-b55f-41b6-93bc-f66190a7d1b6,interview_20260417_140259.log,2,False,12791.0,glp1_food_mec_strict,brief_responder,,3.44,3.19,6.03,6535.82,46.52,2013.43,3.02,2851.87,0.18,1312.32,4.84,9.92
1cc35b1c-b55f-41b6-93bc-f66190a7d1b6,interview_20260417_140259.log,3,False,10642.0,glp1_food_mec_strict,brief_responder,,4.29,3.89,6.22,5194.13,25.26,1254.33,3.86,2792.77,0.26,1341.54,4.1,9.95
1cc35b1c-b55f-41b6-93bc-f66190a7d1b6,interview_20260417_140259.log,4,False,12525.0,glp1_food_mec_strict,brief_responder,,3.18,3.16,5.12,7322.32,41.71,1846.04,2.81,2364.59,0.19,920.95,4.27,9.56
1cc35b1c-b55f-41b6-93bc-f66190a7d1b6,interview_20260417_140259.log,5,False,15141.0,glp1_food_mec_strict,brief_responder,,3.71,2.58,5.38,7306.71,53.34,4684.51,2.91,2030.12,0.32,1036.58,3.52,9.93
1cc35b1c-b55f-41b6-93bc-f66190a7d1b6,interview_20260417_140259.log,6,False,10557.0,glp1_food_mec_strict,brief_responder,,3.93,3.87,5.38,4973.52,20.97,1562.02,3.01,2893.09,0.23,1075.72,4.84,9.19
1cc35b1c-b55f-41b6-93bc-f66190a7d1b6,interview_20260417_140259.log,7,False,9315.0,glp1_food_mec_strict,brief_responder,,3.6,10.31,4.85,4743.81,24.62,1235.52,4.3,2391.01,0.19,881.28,4.16,10.76
1cc35b1c-b55f-41b6-93bc-f66190a7d1b6,interview_20260417_140259.log,8,False,10346.0,glp1_food_mec_strict,brief_responder,,4.86,4.34,5.05,5816.35,25.18,1212.69,2.96,2345.99,0.18,912.07,4.97,9.99
1cc35b1c-b55f-41b6-93bc-f66190a7d1b6,interview_20260417_140259.log,9,False,9350.0,glp1_food_mec_strict,brief_responder,,3.83,2.51,4.35,4434.02,23.59,1356.29,3.66,2337.56,0.24,1161.06,13.01,9.53
ec52af29-a287-46ca-a70b-b4b7699b5f63,interview_20260417_140725.log,1,True,18857.0,glp1_food_mec_strict,brief_responder,means_end_chain_v2_strict,7.01,4.19,1974.47,4804.74,6018.19,2446.02,3.73,2622.58,0.22,957.38,3.81,13.47
ec52af29-a287-46ca-a70b-b4b7699b5f63,interview_20260417_140725.log,2,False,14179.0,glp1_food_mec_strict,brief_responder,means_end_chain_v2_strict,4.04,3.88,5.4,7655.99,44.64,2241.51,3.18,3195.03,0.19,1009.56,4.0,10.5
ec52af29-a287-46ca-a70b-b4b7699b5f63,interview_20260417_140725.log,3,False,9363.0,glp1_food_mec_strict,brief_responder,means_end_chain_v2_strict,4.0,2.74,5.9,5266.75,24.93,1430.77,3.37,1786.65,0.14,820.91,6.52,9.82
ec52af29-a287-46ca-a70b-b4b7699b5f63,interview_20260417_140725.log,4,False,12037.0,glp1_food_mec_strict,brief_responder,means_end_chain_v2_strict,3.33,3.63,4.92,5855.39,31.58,1366.73,3.83,2796.72,0.18,1948.5,10.58,10.94
ec52af29-a287-46ca-a70b-b4b7699b5f63,interview_20260417_140725.log,5,False,10656.0,glp1_food_mec_strict,brief_responder,means_end_chain_v2_strict,3.73,11.21,4.9,4650.73,34.4,1356.87,2.79,2037.73,0.24,2537.06,4.78,10.75
ec52af29-a287-46ca-a70b-b4b7699b5f63,interview_20260417_140725.log,6,False,12470.0,glp1_food_mec_strict,brief_responder,means_end_chain_v2_strict,3.11,3.47,4.3,7623.19,50.49,1687.62,3.98,2137.56,0.2,932.96,11.85,10.31
ec52af29-a287-46ca-a70b-b4b7699b5f63,interview_20260417_140725.log,7,False,18152.0,glp1_food_mec_strict,brief_responder,means_end_chain_v2_strict,3.69,3.23,4.38,6343.78,26.57,1261.42,2.73,9500.92,0.23,990.14,3.91,9.8
ec52af29-a287-46ca-a70b-b4b7699b5f63,interview_20260417_140725.log,8,False,10631.0,glp1_food_mec_strict,brief_responder,means_end_chain_v2_strict,3.15,10.37,4.25,6863.37,38.26,1786.27,2.98,1906.86,0.26,0.08,4.74,9.29
e5a8c5cc-c9c8-4270-8bad-b8e9f0c2a962,interview_20260417_140940.log,1,True,50799.0,coffee_subscription_cjm,fatiguing_responder,customer_journey_mapping_v2,12.78,3.79,2002.45,26294.0,6636.23,6165.89,3.74,8778.45,0.28,882.86,4.74,12.66
e5a8c5cc-c9c8-4270-8bad-b8e9f0c2a962,interview_20260417_140940.log,2,False,24834.0,coffee_subscription_cjm,fatiguing_responder,customer_journey_mapping_v2,3.68,10.61,16.16,14495.16,92.6,4282.64,4.36,4798.55,0.16,1114.94,4.06,10.24
e5a8c5cc-c9c8-4270-8bad-b8e9f0c2a962,interview_20260417_140940.log,3,False,22322.0,coffee_subscription_cjm,fatiguing_responder,customer_journey_mapping_v2,3.99,3.5,16.4,13024.35,83.77,3904.19,4.84,4211.74,0.16,1036.29,11.4,20.46
e5a8c5cc-c9c8-4270-8bad-b8e9f0c2a962,interview_20260417_140940.log,4,False,22633.0,coffee_subscription_cjm,fatiguing_responder,customer_journey_mapping_v2,4.83,10.84,11.03,13011.62,57.84,3567.55,3.3,4965.38,0.16,972.24,13.43,13.48
e5a8c5cc-c9c8-4270-8bad-b8e9f0c2a962,interview_20260417_140940.log,5,False,24099.0,coffee_subscription_cjm,fatiguing_responder,customer_journey_mapping_v2,3.28,11.79,11.39,14023.15,86.28,3307.12,4.71,5646.65,0.17,989.88,5.32,8.5
e5a8c5cc-c9c8-4270-8bad-b8e9f0c2a962,interview_20260417_140940.log,6,False,23098.0,coffee_subscription_cjm,fatiguing_responder,customer_journey_mapping_v2,5.44,5.47,9.3,13984.17,65.23,3542.39,4.34,4420.02,0.17,1047.95,3.64,9.49
e5a8c5cc-c9c8-4270-8bad-b8e9f0c2a962,interview_20260417_140940.log,7,False,23551.0,coffee_subscription_cjm,fatiguing_responder,customer_journey_mapping_v2,4.12,11.64,11.76,13469.85,69.18,4331.12,4.21,4626.9,0.17,1005.78,4.59,10.56
e5a8c5cc-c9c8-4270-8bad-b8e9f0c2a962,interview_20260417_140940.log,8,False,21011.0,coffee_subscription_cjm,fatiguing_responder,customer_journey_mapping_v2,4.34,2.76,8.01,13540.69,59.22,2345.93,4.2,3649.07,0.16,1375.42,10.31,9.94
e5a8c5cc-c9c8-4270-8bad-b8e9f0c2a962,interview_20260417_140940.log,9,False,18148.0,coffee_subscription_cjm,fatiguing_responder,customer_journey_mapping_v2,5.49,5.06,9.69,10797.9,46.65,2345.65,4.23,4039.8,0.17,869.8,13.47,8.7
e5a8c5cc-c9c8-4270-8bad-b8e9f0c2a962,interview_20260417_140940.log,10,False,14858.0,coffee_subscription_cjm,fatiguing_responder,customer_journey_mapping_v2,5.28,11.63,6.78,9527.26,28.03,2391.22,6.98,2865.6,0.41,0.07,4.33,9.41
ea1b6f82-8490-46ca-97c7-353bcc314636,interview_20260417_155922.log,1,True,29030.0,glp1_food_mec_strict,baseline_cooperative,means_end_chain_v2_strict,4.13,4.02,2567.01,8660.44,8766.96,3784.69,3.62,4375.22,0.18,847.59,2.92,12.18
ea1b6f82-8490-46ca-97c7-353bcc314636,interview_20260417_155922.log,2,False,20337.0,glp1_food_mec_strict,baseline_cooperative,means_end_chain_v2_strict,5.03,4.23,11.29,12919.17,92.93,2738.68,3.1,3529.69,0.14,1018.84,3.26,9.59
ea1b6f82-8490-46ca-97c7-353bcc314636,interview_20260417_155922.log,3,False,20328.0,glp1_food_mec_strict,baseline_cooperative,means_end_chain_v2_strict,3.47,3.09,11.07,12452.77,94.74,2297.79,2.83,4302.31,0.13,1147.18,2.62,9.88
ea1b6f82-8490-46ca-97c7-353bcc314636,interview_20260417_155922.log,4,False,13848.0,glp1_food_mec_strict,baseline_cooperative,means_end_chain_v2_strict,4.18,3.73,10.74,6930.29,64.51,1964.05,3.16,3743.98,0.12,1102.04,9.67,11.21
ea1b6f82-8490-46ca-97c7-353bcc314636,interview_20260417_155922.log,5,False,16145.0,glp1_food_mec_strict,baseline_cooperative,means_end_chain_v2_strict,5.3,4.59,8.79,10463.27,56.53,1893.45,3.19,2727.98,0.14,958.86,11.16,11.13
ea1b6f82-8490-46ca-97c7-353bcc314636,interview_20260417_155922.log,6,False,16781.0,glp1_food_mec_strict,baseline_cooperative,means_end_chain_v2_strict,4.49,3.97,10.12,9951.36,83.02,2171.2,3.71,3148.79,0.13,1389.75,4.09,10.04
ea1b6f82-8490-46ca-97c7-353bcc314636,interview_20260417_155922.log,7,False,17398.0,glp1_food_mec_strict,baseline_cooperative,means_end_chain_v2_strict,4.24,3.47,11.08,11211.92,43.65,2656.32,3.09,2417.62,0.18,1020.41,12.33,13.2
ea1b6f82-8490-46ca-97c7-353bcc314636,interview_20260417_155922.log,8,False,19942.0,glp1_food_mec_strict,baseline_cooperative,means_end_chain_v2_strict,6.18,3.31,8.99,12260.35,56.77,2733.78,3.95,3817.3,0.17,1037.43,3.26,9.79
ea1b6f82-8490-46ca-97c7-353bcc314636,interview_20260417_155922.log,9,False,13696.0,glp1_food_mec_strict,baseline_cooperative,means_end_chain_v2_strict,4.96,4.92,8.28,6363.81,34.3,1838.29,3.25,2468.57,0.09,2951.65,3.9,13.74
ea1b6f82-8490-46ca-97c7-353bcc314636,interview_20260417_155922.log,10,False,14948.0,glp1_food_mec_strict,baseline_cooperative,means_end_chain_v2_strict,4.4,4.3,8.0,9255.93,43.91,1654.66,6.05,2730.73,0.17,1218.76,7.05,12.78
7e297d56-848f-4969-91de-2c5358bae553,interview_20260417_160308.log,1,True,31301.0,cold_brew_discovery_cit,baseline_cooperative,critical_incident_v2,4.06,3.22,2286.07,10869.96,6218.24,5418.59,3.8,5092.52,0.28,1388.53,5.46,9.88
7e297d56-848f-4969-91de-2c5358bae553,interview_20260417_160308.log,2,False,28009.0,cold_brew_discovery_cit,baseline_cooperative,critical_incident_v2,3.68,5.02,17.75,16827.54,90.43,4501.33,3.69,5479.05,0.16,1063.72,6.02,9.1
7e297d56-848f-4969-91de-2c5358bae553,interview_20260417_160308.log,3,False,24945.0,cold_brew_discovery_cit,baseline_cooperative,critical_incident_v2,4.76,4.23,10.23,14574.48,66.48,4046.73,5.19,5175.41,0.17,1041.93,5.01,9.63
7e297d56-848f-4969-91de-2c5358bae553,interview_20260417_160308.log,4,False,19838.0,cold_brew_discovery_cit,baseline_cooperative,critical_incident_v2,3.97,3.19,9.88,11287.02,56.98,3355.36,3.99,4094.28,0.16,1001.13,6.15,15.02
7e297d56-848f-4969-91de-2c5358bae553,interview_20260417_160308.log,5,False,15170.0,cold_brew_discovery_cit,baseline_cooperative,critical_incident_v2,4.37,6.47,6.65,9252.11,29.96,2038.26,6.83,2788.19,0.22,1020.37,4.58,11.31
7e297d56-848f-4969-91de-2c5358bae553,interview_20260417_160308.log,6,False,16735.0,cold_brew_discovery_cit,baseline_cooperative,critical_incident_v2,3.26,3.05,9.46,9712.9,57.77,2706.6,4.92,3253.44,0.18,965.29,4.65,12.86
7e297d56-848f-4969-91de-2c5358bae553,interview_20260417_160308.log,7,False,17126.0,cold_brew_discovery_cit,baseline_cooperative,critical_incident_v2,5.17,4.45,8.02,8686.28,46.91,3066.34,4.19,4185.58,0.27,1103.23,5.66,9.25
7e297d56-848f-4969-91de-2c5358bae553,interview_20260417_160308.log,8,False,14986.0,cold_brew_discovery_cit,baseline_cooperative,critical_incident_v2,3.59,3.16,6.64,8283.15,31.77,2233.96,3.69,3644.99,0.18,759.22,3.89,11.1
7e297d56-848f-4969-91de-2c5358bae553,interview_20260417_160308.log,9,False,21399.0,cold_brew_discovery_cit,baseline_cooperative,critical_incident_v2,4.73,3.07,7.22,13333.14,55.8,3161.5,4.98,3796.97,0.18,1012.18,7.09,10.82
